price,area,beds,baths,parkings
195000.0,115.0,3,2.0,2
110000.0,69.0,2,1.0,1
295000.0,210.0,3,3.5,2
275000.0,174.1,1,2.0,2
735000.0,330.0,3,3.5,3
185000.0,100.0,1,1.5,1
325000.0,152.0,1,2.0,1
185000.0,100.0,1,1.5,1
275550.0,156.0,3,3.0,2
327000.0,170.0,3,2.5,3
870500.0,322.4,3,4.0,2
295000.0,113.0,2,3.0,1
220000.0,60.0,1,1.5,1
84999.0,88.0,2,2.0,1
295000.0,159.0,3,2.0,2
275550.0,156.0,3,3.0,2
171000.0,121.0,3,2.0,2
285000.0,94.0,1,1.0,1
190000.0,92.0,2,2.0,1
212500.0,113.0,2,2.0,1
69750.0,56.3,2,1.0,1
222750.0,135.0,3,3.5,2
195000.0,90.0,2,1.5,1
105000.0,60.0,2,2.0,1
395000.0,204.0,3,3.0,2
140000.0,60.0,2,2.0,1
285000.0,165.0,3,2.5,2
221000.0,125.0,3,2.0,2
115000.0,65.0,2,2.0,1
470000.0,230.0,3,3.5,4
138000.0,84.0,2,2.0,1
275550.0,167.0,3,3.0,2
280000.0,185.0,3,3.5,2
900000.0,397.0,4,4.0,3
170000.0,96.0,1,1.0,1
585000.0,309.0,3,3.5,2
400000.0,159.0,2,2.5,2
191400.0,116.0,2,2.0,2
179000.0,110.0,3,2.0,1
225000.0,124.0,3,2.0,2
465000.0,227.0,3,3.5,3
325000.0,200.0,3,3.5,2
250000.0,115.0,2,2.0,1
195000.0,81.0,2,2.0,1
1035000.0,358.0,4,4.5,3
530000.0,293.0,3,3.0,2
85000.0,58.0,2,1.0,1
155000.0,81.0,1,1.5,1
165000.0,95.0,2,2.0,1
275000.0,200.0,3,2.0,2
1200000.0,602.0,4,4.5,3
1250000.0,399.0,3,3.5,3
163350.0,99.0,2,2.0,2
380000.0,340.0,3,3.0,2
110000.0,82.0,2,2.0,1
390000.0,241.0,3,4.0,3
194000.0,100.35,2,2.0,1
220000.0,152.0,3,3.0,2
288000.0,170.0,4,3.0,2
163350.0,99.0,2,2.0,2
380481.0,172.0,3,3.0,2
215000.0,100.0,1,1.5,1
475000.0,269.0,3,4.0,2
250000.0,145.0,3,4.0,2
258000.0,138.0,2,2.0,1
295000.0,165.0,1,1.5,1
330000.0,165.0,1,1.5,1
235000.0,85.0,2,2.0,1
300000.0,165.0,1,1.5,1
370000.0,178.0,2,2.0,1
132000.0,60.0,2,2.0,1
1500000.0,560.0,4,4.5,3
522000.0,174.0,2,2.0,1
175000.0,125.0,3,2.0,2
200000.0,157.0,2,2.0,2
630000.0,300.0,3,3.5,3
780000.0,363.0,4,4.5,3
415000.0,186.0,3,3.5,2
290000.0,213.0,3,2.0,2
