,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
144,"Apartments in Santa María | Se vende apartamento en Santa María, PH Albatross","B/.1,005,135.00",339,3,3,3
145,Apartments in Avenida Balboa | Bank sells apartment in Ph Rivage Tower,"B/.342,000.00",176,2,3,2
146,Apartments in Bella Vista | Bank sells apartment in Ph Marbella 47,"B/.397,800.00",195,3,4,2
147,Apartments in Villa de las Fuentes | Apartamento en venta en Villa de Las Fuentes 22-9562 MMC,"B/.214,200.00",119,3,2,2
148,Apartments in Villa de las Fuentes | Apartamento en venta en Villa de Las Fuentes 22-9564 MMC,"B/.262,800.00",146,3,2,2
149,Apartments in Villa de las Fuentes | Apartamento en venta en Villa de las Fuentes 22-9565 MMC,"B/.271,800.00",151,3,2,2
150,Apartments in Villa de las Fuentes | Apartamento en venta en Villa de Las Fuentes 22-9563MMC,"B/.262,800.00",146,3,2,2
151,"Apartments in Coco del Mar | Vendo Ph Puntarenas, Coco del Mar","B/.875,000.00",378,3,3.5,4
152,"Apartments in San Francisco | Se vende apartamento en San Francisco, Ph Terrawind","B/.245,000.00",139,3,3.5,2
153,Apartments in Punta Paitilla | SEA Confiable Vende Apartamento en PH Sonesta Paitilla 299 m2,"B/.425,000.00
 (Reduced 6%)",299,3,2,2
154,Apartments in San Francisco | SEA CONFIABLE VENDE APARTAMENTO EN SAN FRANCISCO,"B/.274,900.00",138,3,3,2
155,"Apartments in Obarrio | VENDO apartamento de 3 habitaciones, amueblado en el corazon de Obarrio, P.H River Park","B/.320,000.00",131,3,3.5,1
156,Apartments in Punta Paitilla | Bank sells apartment in Ph Pacific Sea,"B/.394,000.00",232,3,2.5,2
157,"Apartments in Marbella | Se vende apartamento en Marbella, Ph Marbella Tower 2","B/.290,000.00",212,3,2,2
158,"Apartments in Punta Paitilla | Se vende apartamento en Punta Paitilla, PH Perlas del Pacifico","B/.280,000.00",154,3,2,2
159,Apartments in San Francisco | Venta Ph torres de San Francisco 138.000,"B/.138,000.00",81,2,1.5,1
160,"Apartments in Llano Bonito | Se Vende Apartamento, Llano Bonito","B/.100,000.00",67,2,2,1
161,Apartments in Santa María | SEA Confiable Vende PH Signature Vista Hoyo 8 Santa Maria,"B/.950,000.00",370,3,5,4
162,Apartments in Betania | SEA CONFIABLE ALQUILA Y VENDE APARTAMENTO EN CONDADO DEL REY,"B/.130,000.00",75,2,2,2
163,"Apartments in Punta Pacífica | Apartment for sale in PH. Park Loft, San Francisco","B/.229,000.00",125,1,1.5,1
164,"Apartments in Villa Lucre | Apartamento Villa Las Fuentes, El Dorado, Betania","B/.290,000.00",130,3,2,2
165,Apartments in San Francisco | MANDARIN BAY - SAN FRANCISCO,"B/.480,000.00",210,3,3.5,2
166,Apartments in Dos Mares | Venta de Apartamento amoblado PH Pacific Hills,"B/.255,000.00",112,3,3,1
167,Apartments in Costa del Este | ZEUS | COSTA DEL ESTE,"B/.746,000.00",372.75,3,3.5,3
168,Apartments in Vía España | Apartamento Venta Vía España,"B/.150,000.00",78,2,2,1
169,Apartments in Condado del Rey | Apartamento Venta Condado del Rey,"B/.145,000.00",84,2,2,1
170,Apartments in Vía España | Apartamento Venta Vía España,"B/.125,000.00",79,3,2,1
171,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacifica, Ph Oasis on the bay","B/.600,000.00",300,2,2.5,2
172,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacífica, PH Venetian","B/.1,700,000.00",525,4,5,3
173,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacífica, Ph Aqualina","B/.625,000.00",294,3,3,2
174,"Apartments in Punta Pacífica | FOR SALE Special Model A for sale, The Grand Tower","B/.339,000.00",123,2,2.5,2
