,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
185,Apartments in Avenida Balboa | VENDO PH GRAND BAY TOWER / AVENIDA BALBOA,"B/.195,000.00",104,2,2,1
186,"Apartments in Vía Porras | $115,000 Apartamento a pasos del Parque Omar","B/.115,000.00",74,2,2,1
187,Apartments in Coco del Mar | BRAND NEW APARTMENT IN VICTORY SPORT,"B/.357,000.00",110,3,3,2
188,Apartments in Condado del Rey | Apartamento en venta en Condado del Rey,"B/.152,500.00",96,3,2,2
189,Apartments in Vía Porras | Apartment for sale in San Francisco,"B/.245,000.00",148,2,2.5,2
190,"Apartments in El Cangrejo | Balboa, Bella Vista ! Executive Apart. need remodeling","B/.140,000.00
 (Reduced 3%)",94,2,2,1
191,Apartments in Punta Pacífica | SC-01 FOR SALE BEAUTIFUL PENTHOUSE IN PUNTA PACIFICA,"B/.1,350,000.00",582,5,5.5,4
192,Apartments in Costa del Este | ARCADIA - COSTA DEL ESTE- UNDER CONSTRUCTION,"B/.266,000.00",70,1,2,1
193,Apartments in Avenida Balboa | For Sale Apartment for sale in Balboa Avenue - PH ALLURE,"B/.410,000.00",175,2,2,2
194,Apartments in Avenida Balboa | For sale apartment in Balboa Avenue,"B/.339,000.00",140,2,2,1
195,Apartments in Vía Porras | REGENT EN SAN FRANCISCO,"B/.560,000.00",308,3,3.5,2
196,Apartments in Costa Sur | VENTA DE APARTAMENTO AMOBLADO CON EXCELENTE PRECIO EN VERSALLES ID7735,"B/.166,000.00",90,3,2,1
197,"Apartments in Costa del Este | TORRES DE VERSALLES I / 3 REC / 2 BAÑOS/ BALCON $128,000","B/.128,000.00",NaN,3,2,1
198,Apartments in Costa Sur | VENDO O ALQUILO APTO EN TORRES DE VERSALLES 1,"B/.135,000.00
 (Reduced 7%)",89.7,3,2,1
199,Apartments in Obarrio | VICTORIA TOWER,"B/.310,000.00
 (Reduced 6%)",206,3,3,3
200,Apartments in Coco del Mar | SE VENDE APARTAMENTO EN CABOMARZO,"B/.342,000.00",176,3,4.5,2
201,Apartments in Las Acacias | VENTA APARTAMENTO EN CANTABRIA,"B/.79,000.00
 (Reduced 5%)",64,2,1,2
202,Apartments in Punta Pacífica | VENETIAN TOWER PUNTA PACIFICA,"B/.1,650,000.00
 (Reduced 6%)",525,4,4.5,3
203,Apartments in Costa del Este | PENTHOUSE EN PH ALCALÁ,"B/.995,000.00",519.8,3,4.5,5
204,Apartments in Avenida Balboa | Waters on the Bay - Ave Balboa - Se vende apartamento,"B/.495,000.00
 (Reduced 1%)",269,3,2.5,2
205,Apartments in El Cangrejo | Luxury Apartment For Sale,"B/.399,000.00",210,3,4,2
206,"Apartments in Amador | $1,790.00 el M2 / AMADOR - APARTAMENTOS/ LOFT DE 3 RECAMARAS C/B/E + Terraza","B/.429,600.00",240,3,3,2
207,"Apartments in El Cangrejo | $1,390 X M2/ EL CANGREJO - APTO. 2 Y 3 RECAMARAS, C/B/E + Terraza","B/.382,250.00",275,2,3.5,2
208,Apartments in Avenida Balboa | Spectacular apartment at the most exclusive building in Bella Vista,"B/.450,000.00
 (Reduced 10%)",331,4,4.5,3
209,Apartments in Marbella | SOL MARINA MARBELLA | EXCEPTIONAL LAYOUT,"B/.405,000.00",240,3,3.5,2
210,"Apartments in Llano Bonito | 2R, 1 BAÑO, AMOBLADO","B/.82,000.00
 (Reduced 2%)",60,2,1,1
211,Apartments in Coco del Mar | SAN FRANCISCO PH BAHIA DEL GOLF 1 RECAMARA- AMOBLADO- PISO ALTO-VISTA AL PARQUE,"B/.149,000.00
 (Reduced 4%)",87,1,1.5,1
212,Apartments in Coco del Mar | COCO DE MAR PH BAHIA DEL GOLF VISTA AL MAR 3 RECAMARAS-PRECIO REDUCIDO-,"B/.245,000.00
 (Reduced 6%)",183,3,4.5,2
